ENSSHAT00000000001.1	ENSSHAG00000000001.1	CERCAM
ENSSHAT00000000002.1	ENSSHAG00000000002.1	SLC18A3
ENSSHAT00000000003.1	ENSSHAG00000000003.1	
ENSSHAT00000000005.1	ENSSHAG00000000005.1	
ENSSHAT00000000006.1	ENSSHAG00000000006.1	
ENSSHAT00000000007.1	ENSSHAG00000000007.1	
ENSSHAT00000000008.1	ENSSHAG00000000008.1	
ENSSHAT00000000009.1	ENSSHAG00000000009.1	
ENSSHAT00000000010.1	ENSSHAG00000000010.1	
ENSSHAT00000000011.1	ENSSHAG00000000011.1	ANKRD10
ENSSHAT00000000012.1	ENSSHAG00000000012.1	OR52L1
ENSSHAT00000000013.1	ENSSHAG00000000013.1	TARBP1
ENSSHAT00000000014.1	ENSSHAG00000000014.1	
ENSSHAT00000000016.1	ENSSHAG00000000016.1	SGMS1
ENSSHAT00000000017.1	ENSSHAG00000000017.1	
ENSSHAT00000000018.1	ENSSHAG00000000018.1	
ENSSHAT00000000019.1	ENSSHAG00000000019.1	
ENSSHAT00000000020.1	ENSSHAG00000000020.1	MPHOSPH8
ENSSHAT00000000021.1	ENSSHAG00000000020.1	MPHOSPH8
ENSSHAT00000000022.1	ENSSHAG00000000021.1	
ENSSHAT00000000023.1	ENSSHAG00000000022.1	
ENSSHAT00000000024.1	ENSSHAG00000000023.1	
ENSSHAT00000000025.1	ENSSHAG00000000024.1	
ENSSHAT00000000026.1	ENSSHAG00000000025.1	
ENSSHAT00000000027.1	ENSSHAG00000000026.1	HEBP2
ENSSHAT00000000028.1	ENSSHAG00000000027.1	TBC1D10C
ENSSHAT00000000029.1	ENSSHAG00000000028.1	
ENSSHAT00000000030.1	ENSSHAG00000000029.1	
ENSSHAT00000000031.1	ENSSHAG00000000029.1	
ENSSHAT00000000032.1	ENSSHAG00000000030.1	
ENSSHAT00000000033.1	ENSSHAG00000000031.1	
ENSSHAT00000000034.1	ENSSHAG00000000032.1	GDF6
ENSSHAT00000000035.1	ENSSHAG00000000032.1	GDF6
ENSSHAT00000000036.1	ENSSHAG00000000033.1	
ENSSHAT00000000037.1	ENSSHAG00000000034.1	
ENSSHAT00000000038.1	ENSSHAG00000000035.1	
ENSSHAT00000000039.1	ENSSHAG00000000036.1	
ENSSHAT00000000040.1	ENSSHAG00000000037.1	SRPK3
ENSSHAT00000000041.1	ENSSHAG00000000038.1	CHUK
ENSSHAT00000000042.1	ENSSHAG00000000038.1	CHUK
ENSSHAT00000000043.1	ENSSHAG00000000039.1	CCDC172
ENSSHAT00000000044.1	ENSSHAG00000000040.1	TRIP4
ENSSHAT00000000045.1	ENSSHAG00000000041.1	DMAC2L
ENSSHAT00000000046.1	ENSSHAG00000000042.1	
ENSSHAT00000000047.1	ENSSHAG00000000043.1	
ENSSHAT00000000048.1	ENSSHAG00000000043.1	
ENSSHAT00000000049.1	ENSSHAG00000000044.1	
ENSSHAT00000000050.1	ENSSHAG00000000045.1	
ENSSHAT00000000051.1	ENSSHAG00000000046.1	
ENSSHAT00000000052.1	ENSSHAG00000000047.1	
ENSSHAT00000000053.1	ENSSHAG00000000048.1	
ENSSHAT00000000054.1	ENSSHAG00000000049.1	
ENSSHAT00000000055.1	ENSSHAG00000000050.1	SLC27A4
ENSSHAT00000000056.1	ENSSHAG00000000051.1	
ENSSHAT00000000057.1	ENSSHAG00000000052.1	ERGIC3
ENSSHAT00000000058.1	ENSSHAG00000000052.1	ERGIC3
ENSSHAT00000000059.1	ENSSHAG00000000053.1	
ENSSHAT00000000060.1	ENSSHAG00000000054.1	
ENSSHAT00000000061.1	ENSSHAG00000000055.1	
ENSSHAT00000000062.1	ENSSHAG00000000056.1	
ENSSHAT00000000063.1	ENSSHAG00000000057.1	
ENSSHAT00000000064.1	ENSSHAG00000000058.1	
ENSSHAT00000000065.1	ENSSHAG00000000059.1	
ENSSHAT00000000066.1	ENSSHAG00000000060.1	
ENSSHAT00000000067.1	ENSSHAG00000000061.1	
ENSSHAT00000000068.1	ENSSHAG00000000062.1	
ENSSHAT00000000069.1	ENSSHAG00000000062.1	
ENSSHAT00000000070.1	ENSSHAG00000000063.1	
ENSSHAT00000000071.1	ENSSHAG00000000063.1	
ENSSHAT00000000072.1	ENSSHAG00000000064.1	JARID2
ENSSHAT00000000073.1	ENSSHAG00000000065.1	MTDH
ENSSHAT00000000074.1	ENSSHAG00000000066.1	PNPLA6
ENSSHAT00000000075.1	ENSSHAG00000000067.1	
ENSSHAT00000000076.1	ENSSHAG00000000067.1	
ENSSHAT00000000077.1	ENSSHAG00000000068.1	
ENSSHAT00000000078.1	ENSSHAG00000000068.1	
ENSSHAT00000000079.1	ENSSHAG00000000069.1	
ENSSHAT00000000080.1	ENSSHAG00000000069.1	
ENSSHAT00000000081.1	ENSSHAG00000000069.1	
ENSSHAT00000000082.1	ENSSHAG00000000070.1	
ENSSHAT00000000083.1	ENSSHAG00000000071.1	
ENSSHAT00000000084.1	ENSSHAG00000000072.1	RAB6A
ENSSHAT00000000085.1	ENSSHAG00000000072.1	RAB6A
ENSSHAT00000000086.1	ENSSHAG00000000073.1	
ENSSHAT00000000087.1	ENSSHAG00000000074.1	
ENSSHAT00000000088.1	ENSSHAG00000000075.1	THAP7
ENSSHAT00000000089.1	ENSSHAG00000000076.1	CRHR2
ENSSHAT00000000090.1	ENSSHAG00000000077.1	CORO1C
ENSSHAT00000000091.1	ENSSHAG00000000078.1	
ENSSHAT00000000092.1	ENSSHAG00000000079.1	HSF1
ENSSHAT00000000093.1	ENSSHAG00000000080.1	DGAT1
ENSSHAT00000000094.1	ENSSHAG00000000081.1	
ENSSHAT00000000095.1	ENSSHAG00000000082.1	
ENSSHAT00000000096.1	ENSSHAG00000000083.1	
ENSSHAT00000000097.1	ENSSHAG00000000084.1	STXBP2
ENSSHAT00000000098.1	ENSSHAG00000000085.1	PLPP2
ENSSHAT00000000099.1	ENSSHAG00000000086.1	
ENSSHAT00000000100.1	ENSSHAG00000000087.1	
ENSSHAT00000000101.1	ENSSHAG00000000088.1	PIK3CB
ENSSHAT00000000102.1	ENSSHAG00000000089.1	PSMD8
ENSSHAT00000000103.1	ENSSHAG00000000090.1	
ENSSHAT00000000104.1	ENSSHAG00000000091.1	CD200
ENSSHAT00000000105.1	ENSSHAG00000000091.1	CD200
ENSSHAT00000000106.1	ENSSHAG00000000092.1	RPS5
ENSSHAT00000000107.1	ENSSHAG00000000093.1	
ENSSHAT00000000108.1	ENSSHAG00000000094.1	SEC62
ENSSHAT00000000109.1	ENSSHAG00000000094.1	SEC62
ENSSHAT00000000110.1	ENSSHAG00000000095.1	
ENSSHAT00000000111.1	ENSSHAG00000000096.1	
ENSSHAT00000000112.1	ENSSHAG00000000096.1	
ENSSHAT00000000113.1	ENSSHAG00000000097.1	
ENSSHAT00000000114.1	ENSSHAG00000000098.1	
ENSSHAT00000000115.1	ENSSHAG00000000098.1	
